"","q","M","s1","s2","s3","s4","s5","s6","log.lik"
"1",5.00049512291025,0.252421670896544,0,0.01,0.178467034747402,0.340470234957359,0.700951308854924,1,6454.82015176845
"2",5.00049490993528,0.252332776286709,0,0.0101401401401401,0.178585024942138,0.3406509709059,0.70123661677753,1,6454.03533310981
"3",5.00049475615371,0.252244174012525,0,0.0102802802802803,0.178702707407143,0.340830962098115,0.701520413894615,1,6453.26351281765
"4",5.00056977901988,0.252174718914977,0,0.0104204204204204,0.178785043440044,0.340939984362713,0.701695829178384,1,6452.50433839838
"5",5.00056982808544,0.252086469587534,0,0.0105605605605606,0.17890280034327,0.341119948676321,0.701975244936278,1,6451.75746332483
"6",5.00056980156936,0.25199832630816,0,0.0107007007007007,0.179020405820357,0.341299639039307,0.702254317247555,1,6451.02256298325
"7",5.00056970252854,0.251910285755753,0,0.0108408408408408,0.179137852730884,0.341478973760888,0.702532977987166,1,6450.29932268649
"8",5.00056953846512,0.251822343755791,0,0.010980980980981,0.179255141545968,0.341657913690358,0.702811171276989,1,6449.58743988326
"9",5.0005693193996,0.25173449326303,0,0.0111211211211211,0.179372280733435,0.341836458439731,0.703088853637198,1,6448.88662354277
"10",5.00056905893894,0.251646724564341,0,0.0112612612612613,0.179489285319163,0.342014641602224,0.703365995044905,1,6448.19659357806
"11",5.00056876698172,0.251559026920588,0,0.0114014014014014,0.179606174160083,0.342192524385678,0.703642580382538,1,6447.51708030417
"12",5.00056845367089,0.251471390464117,0,0.0115415415415415,0.179722967034112,0.342370187457245,0.703918610567864,1,6446.84782393005
"13",5.00056812872608,0.251383807572631,0,0.0116816816816817,0.179839682274554,0.342547721753693,0.704194102536253,1,6446.18857408074
"14",5.00056779780166,0.251296273461712,0,0.0118218218218218,0.179956335175335,0.342725219574584,0.70446908767869,1,6445.53908934785
"15",5.00056746476272,0.251208786102644,0,0.011961961961962,0.180072937067862,0.34290276706883,0.704743608793232,1,6444.89913686702
"16",5.00056713306455,0.251121345707587,0,0.0121021021021021,0.18018949492009,0.343080438707347,0.705017716146038,1,6444.26849191992
"17",5.00056556679174,0.251039729147814,0,0.0122422422422422,0.18030130972998,0.343268263276308,0.705318683771653,1,6443.64693633709
"18",5.00056536932976,0.250953306564424,0,0.0123823823823824,0.180417056076501,0.343446610374278,0.705594767795521,1,6443.03426279385
"19",5.00056515742579,0.250866953283901,0,0.0125225225225225,0.180532801319241,0.343625163003034,0.705870729203371,1,6442.43026782564
"20",5.00056493186506,0.250780670504755,0,0.0126626626626627,0.180648537239383,0.343803922779979,0.70614656790067,1,6441.83475575461
"21",5.00056469500776,0.250694461023158,0,0.0128028028028028,0.180764252246916,0.343982879968023,0.706422279635937,1,6441.24753737347
"22",5.00056444742237,0.250608328988523,0,0.0129429429429429,0.180879932229075,0.344162014719561,0.706697856196947,1,6440.66842966326
"23",5.00056418873789,0.250522279644747,0,0.0130830830830831,0.180995561408937,0.344341298465014,0.706973285792657,1,6440.09725552652
"24",5.00056391868592,0.2504363190861,0,0.0132232232232232,0.181111123143929,0.344520695289491,0.707248553589413,1,6439.5338435346
"25",5.00056363805063,0.250350454041103,0,0.0133633633633634,0.181226600628254,0.344700163254155,0.707523642297127,1,6438.97802768839
"26",5.00056334469581,0.250264691681549,0,0.0135035035035035,0.181341977499483,0.344879655634652,0.707798532829583,1,6438.42964719112
"27",5.00056303811977,0.250179039464692,0,0.0136436436436436,0.181457238334884,0.345059122031648,0.708073205007843,1,6437.88854623352
"28",5.00056271678421,0.250093505002312,0,0.0137837837837838,0.181572369056008,0.34523850934185,0.70834763831186,1,6437.3545737895
"29",5.00056237872824,0.25000809595109,0,0.0139239239239239,0.18168735726074,0.345417762581937,0.708621812731084,1,6436.82758342247
"30",5.00056202176591,0.249922819919239,0,0.0140640640640641,0.181802192506904,0.345596825536728,0.708895709712557,1,6436.30743310127
"31",5.0005616426691,0.249837684379859,0,0.0142042042042042,0.181916866583534,0.34577564122354,0.709169313284788,1,6435.79398502532
"32",5.00056123876833,0.249752696584832,0,0.0143443443443443,0.182031373806348,0.34595415212459,0.709442611412782,1,6435.28710545844
"33",5.00056080499213,0.249667863473445,0,0.0144844844844845,0.182145711393545,0.346132300156628,0.709715597696064,1,6434.78666457059
"34",5.00055877520969,0.24958843407447,0,0.0146246246246246,0.182261204231897,0.346307802531518,0.710007548339114,1,6434.29253615604
"35",5.00055843153776,0.249504250529928,0,0.0147647647647648,0.18237543361169,0.346486733982516,0.710281504897038,1,6433.80459811514
"36",5.00055807961449,0.249420235184761,0,0.0149049049049049,0.182489486453389,0.346665505157049,0.710555206642518,1,6433.32273127954
"37",5.00055771956223,0.249336390999512,0,0.015045045045045,0.182603359417329,0.34684408972695,0.71082864127489,1,6432.8468200183
"38",5.00055735141064,0.249252720329494,0,0.0151851851851852,0.182717050424887,0.347022463693043,0.711101797206824,1,6432.37675192271
"39",5.00055697495091,0.249169224914768,0,0.0153253253253253,0.182830558541379,0.347200605548127,0.711374663642122,1,6431.9124176879
"40",5.00055659075773,0.249085905887692,0,0.0154654654654655,0.182943883842453,0.347378496350788,0.711647230602917,1,6431.4537109999
"41",5.0005561980227,0.249002763790366,0,0.0156056056056056,0.183057027285545,0.347556119731232,0.71191948898737,1,6431.00052842762
"42",5.00055579744729,0.24891979860394,0,0.0157457457457457,0.183169990575244,0.347733461832817,0.712191430590296,1,6430.55276931997
"43",5.0005553888689,0.248837009785829,0,0.0158858858858859,0.183282776039978,0.347910511198031,0.712463048126582,1,6430.11033570717
