"","M","q","s1","s2","s3","s4","s5","s6","log.lik"
"1",0.15,5.02417539190938,0,0.117755986725385,0.335703990208063,0.570234778696743,1,1,6421.54620223948
"2",0.15015015015015,5.02403387946743,0,0.117644948663334,0.335442277632378,0.569875319043517,1,1,6421.38196426632
"3",0.1503003003003,5.02389313358595,0,0.117534085699448,0.335181033225452,0.569516086933574,1,1,6421.2181970395
"4",0.15045045045045,5.02375318606549,0,0.117423430460583,0.334920186325936,0.56915712823009,1,1,6421.05490033952
"5",0.150600600600601,5.02361404992513,0,0.117312997077001,0.334659674382146,0.568798486565005,1,1,6420.8920739473
"6",0.150750750750751,5.02347572210101,0,0.117202785811762,0.334399449799668,0.568440198430923,1,1,6420.72971764436
"7",0.150900900900901,5.02333818441872,0,0.117092788934837,0.334139479951005,0.568082292267961,1,1,6420.56783121305
"8",0.151051051051051,5.02320140592116,0,0.116982995349912,0.333879743938224,0.567724789452659,1,1,6420.40641443654
"9",0.151201201201201,5.02306534598718,0,0.116873393415219,0.333620228713999,0.567367705831244,1,1,6420.24546709863
"10",0.151351351351351,5.02237543386541,0,0.116771824891142,0.333341212870448,0.567018964561509,1,1,6420.08502187088
"11",0.151501501501501,5.02224627281005,0,0.116662485069287,0.333080600130279,0.56666332908216,1,1,6419.92501220095
"12",0.151651651651652,5.0221177773889,0,0.116553228454377,0.332820193083125,0.566308115104181,1,1,6419.76547131927
"13",0.151801801801802,5.02198996283032,0,0.116444059856903,0.332559993973316,0.565953312199866,1,1,6419.60639900746
"14",0.151951951951952,5.02186284187445,0,0.116334985751655,0.332300008782283,0.565598906362068,1,1,6419.44779504741
"15",0.152102102102102,5.02173642364618,0,0.116226013621079,0.332040246636841,0.565244881321256,1,1,6419.28965922128
"16",0.152252252252252,5.02161071208856,0,0.116117151107295,0.331780718754606,0.564891220131545,1,1,6419.13199131154
"17",0.152402402402402,5.02148570290052,0,0.116008404790085,0.331521436925093,0.564537907013379,1,1,6418.97479110105
"18",0.152552552552553,5.02136138051809,0,0.115899778320701,0.331262411566494,0.564184929498071,1,1,6418.81805837323
"19",0.152702702702703,5.02123771544825,0,0.115791269710377,0.331003649576398,0.563832280746534,1,1,6418.66179291206
"20",0.152852852852853,5.02111466183843,0,0.115682867951057,0.330745152374343,0.563479961690212,1,1,6418.50599450222
"21",0.153003003003003,5.0209921576327,0,0.11557455007444,0.330486914667315,0.563127982117679,1,1,6418.35066292902
"22",0.153153153153153,5.02087012673636,0,0.115466281060286,0.330228924155837,0.56277635943358,1,1,6418.19579797835
"23",0.153303303303303,5.02074848245237,0,0.115358020216918,0.329971161964619,0.562425113721588,1,1,6418.04139943688
"24",0.153453453453453,5.02062713219764,0,0.115249737889338,0.329713604456991,0.562074258373901,1,1,6417.8874670923
"25",0.153603603603604,5.02050598041558,0,0.115141444027967,0.32945623115217,0.561723787315414,1,1,6417.73400073365
"26",0.153753753753754,5.02038493241434,0,0.11503322095682,0.32919904811475,0.561373664109131,1,1,6417.58100015061
"27",0.153903903903904,5.0202639060029,0,0.11492523243265,0.328942127673878,0.561023824254355,1,1,6417.42846513086
"28",0.154054054054054,5.02014285518157,0,0.11481766817558,0.328685629536626,0.560674200749423,1,1,6417.27639545695
"29",0.154204204204204,5.02002179792035,0,0.114710628882302,0.328429742664117,0.560324762102581,1,1,6417.1247909063
"30",0.154354354354354,5.0199008298222,0,0.114604049507721,0.328174558089952,0.55997553015272,1,1,6416.97365125428
"31",0.154504504504505,5.019780097626,0,0.114497749213686,0.327919997469643,0.559626561864682,1,1,6416.82297627633
